Group;Participant;CollabEnvironememnt;trialNb;training;MoveMode;Task;Wall;CardToTag;nbMove;nbMoveWall;nbDragWallFloor;distTotal;nbRotate;rotateTotal;trialTime;moveTime
g02;p01;C;51;0;drag;move;R;40;2;1;0;4.61884;0;0;8.475952;8.840942
#pause;
g02;p01;C;52;1;joy;move;B;23;18;0;0;22.90793;13;315.3395;32.14091;11.48445
g02;p01;C;53;1;joy;search;B;38;0;0;0;18.77068;0;511.5;16.24776;0
g02;p01;C;54;1;joy;move;R;45;9;0;0;3.588763;3;6.711471;10.08188;3.884796
g02;p01;C;55;1;joy;search;R;50;0;0;0;3.458733;0;48;9.515228;0
g02;p01;C;56;1;joy;move;L;12;0;0;0;7.852525;2;0;5.979919;0
g02;p01;C;57;1;joy;search;L;9;0;0;0;4.898557;0;104.5;8.87384;0
g02;p01;C;58;0;joy;move;B;36;5;0;0;3.325684;1;0;5.39505;2.219208
g02;p01;C;59;0;joy;search;B;30;0;0;0;3.045805;0;44;4.619659;0
g02;p01;C;60;0;joy;move;R;53;4;0;0;5.9033;0;0;5.277618;4.620514
g02;p01;C;61;0;joy;search;R;57;0;0;0;2.873518;0;44.5;8.727264;0
g02;p01;C;62;0;joy;move;L;13;2;0;0;7.067202;0;0;5.245697;4.91507
g02;p01;C;63;0;joy;search;L;7;0;0;0;3.181349;0;43;7.486145;0
g02;p01;C;64;0;joy;move;B;33;5;0;0;2.517137;5;22.12213;5.463226;4.110138
g02;p01;C;65;0;joy;search;B;28;0;0;0;3.684565;0;43.5;7.243988;0
g02;p01;C;66;0;joy;move;R;48;5;0;0;11.01867;1;0;6.808441;5.450317
g02;p01;C;67;0;joy;search;R;52;0;0;0;4.148462;0;66;4.226959;0
g02;p01;C;68;0;joy;search;R;57;0;0;0;3.620757;0;142.5;11.85098;0
g02;p01;C;69;0;joy;move;R;53;3;0;0;2.778522;1;0;4.419434;2.982666
g02;p01;C;70;0;joy;search;B;30;0;0;0;6.544277;0;101;7.480743;0
g02;p01;C;71;0;joy;move;B;36;2;0;0;3.357766;0;0;3.824402;1.949463
g02;p01;C;72;0;joy;search;L;9;0;0;0;3.697982;0;48.5;5.226868;0
g02;p01;C;73;0;joy;move;L;12;4;0;0;5.000498;3;0;11.64804;3.160217
g02;p01;C;74;0;joy;search;R;50;0;0;0;8.58844;0;104;16.26718;0
g02;p01;C;75;0;joy;move;R;45;6;0;0;8.123953;1;0;7.946594;3.607452
g02;p01;C;76;0;joy;search;B;38;0;0;0;4.200632;0;51;5.841553;0
g02;p01;C;77;0;joy;move;B;23;2;0;0;4.23945;1;0;4.847687;1.920227
#pause;
